5312,Area harvested,115,Barley,ha,465
5419,Yield,115,Barley,100 g/ha,21505
5510,Production,115,Barley,t,1000
5312,Area harvested,115,Barley,ha,647
5419,Yield,115,Barley,100 g/ha,24189
5510,Production,115,Barley,t,1565
5312,Area harvested,115,Barley,ha,494
5419,Yield,115,Barley,100 g/ha,30850
5510,Production,115,Barley,t,1524
5312,Area harvested,115,Barley,ha,356
5419,Yield,115,Barley,100 g/ha,37472
5510,Production,115,Barley,t,1334
5312,Area harvested,115,Barley,ha,304
5419,Yield,115,Barley,100 g/ha,38191
5510,Production,115,Barley,t,1161
5312,Area harvested,115,Barley,ha,400
5419,Yield,115,Barley,100 g/ha,37500
5510,Production,115,Barley,t,1500
5312,Area harvested,115,Barley,ha,450
5419,Yield,115,Barley,100 g/ha,37778
5510,Production,115,Barley,t,1700
5312,Area harvested,115,Barley,ha,500
5419,Yield,115,Barley,100 g/ha,38000
5510,Production,115,Barley,t,1900
5312,Area harvested,115,Barley,ha,600
5419,Yield,115,Barley,100 g/ha,33333
5510,Production,115,Barley,t,2000
5312,Area harvested,115,Barley,ha,700
5419,Yield,115,Barley,100 g/ha,35714
5510,Production,115,Barley,t,2500
5312,Area harvested,115,Barley,ha,800
5419,Yield,115,Barley,100 g/ha,41250
5510,Production,115,Barley,t,3300
5312,Area harvested,115,Barley,ha,900
5419,Yield,115,Barley,100 g/ha,38889
5510,Production,115,Barley,t,3500
5312,Area harvested,115,Barley,ha,1000
5419,Yield,115,Barley,100 g/ha,38000
5510,Production,115,Barley,t,3800
5312,Area harvested,115,Barley,ha,1014
5419,Yield,115,Barley,100 g/ha,39448
5510,Production,115,Barley,t,4000
5312,Area harvested,115,Barley,ha,4530
5419,Yield,115,Barley,100 g/ha,47461
5510,Production,115,Barley,t,21500
5312,Area harvested,115,Barley,ha,5000
5419,Yield,115,Barley,100 g/ha,40000
5510,Production,115,Barley,t,20000
5312,Area harvested,115,Barley,ha,5000
5419,Yield,115,Barley,100 g/ha,40000
5510,Production,115,Barley,t,20000
5312,Area harvested,115,Barley,ha,3688
5419,Yield,115,Barley,100 g/ha,51646
5510,Production,115,Barley,t,19047
5312,Area harvested,115,Barley,ha,5046
5419,Yield,115,Barley,100 g/ha,45811
5510,Production,115,Barley,t,23116
5312,Area harvested,115,Barley,ha,4781
5419,Yield,115,Barley,100 g/ha,49513
5510,Production,115,Barley,t,23672
5312,Area harvested,115,Barley,ha,5982
5419,Yield,115,Barley,100 g/ha,55167
5510,Production,115,Barley,t,33001
5312,Area harvested,115,Barley,ha,7484
5419,Yield,115,Barley,100 g/ha,51494
5510,Production,115,Barley,t,38538
5312,Area harvested,115,Barley,ha,2496
5419,Yield,115,Barley,100 g/ha,51498
5510,Production,115,Barley,t,12854
5312,Area harvested,115,Barley,ha,1947
5419,Yield,115,Barley,100 g/ha,46199
5510,Production,115,Barley,t,8995
5312,Area harvested,115,Barley,ha,4641
5419,Yield,115,Barley,100 g/ha,54299
5510,Production,115,Barley,t,25200
5312,Area harvested,115,Barley,ha,5000
5419,Yield,115,Barley,100 g/ha,57600
5510,Production,115,Barley,t,28800
5312,Area harvested,115,Barley,ha,4144
5419,Yield,115,Barley,100 g/ha,53125
5510,Production,115,Barley,t,22015
5312,Area harvested,115,Barley,ha,5374
5419,Yield,115,Barley,100 g/ha,51048
5510,Production,115,Barley,t,27433
5312,Area harvested,115,Barley,ha,5665
5419,Yield,115,Barley,100 g/ha,50523
5510,Production,115,Barley,t,28621
5312,Area harvested,115,Barley,ha,4850
5419,Yield,115,Barley,100 g/ha,54586
5510,Production,115,Barley,t,26474
5312,Area harvested,115,Barley,ha,5600
5419,Yield,115,Barley,100 g/ha,57143
5510,Production,115,Barley,t,32000
5312,Area harvested,115,Barley,ha,1136
5419,Yield,115,Barley,100 g/ha,44014
5510,Production,115,Barley,t,5000
5312,Area harvested,115,Barley,ha,6400
5419,Yield,115,Barley,100 g/ha,51563
5510,Production,115,Barley,t,33000
5312,Area harvested,115,Barley,ha,5650
5419,Yield,115,Barley,100 g/ha,58407
5510,Production,115,Barley,t,33000
5312,Area harvested,115,Barley,ha,2355
5419,Yield,115,Barley,100 g/ha,53079
5510,Production,115,Barley,t,12500
5312,Area harvested,115,Barley,ha,5300
5419,Yield,115,Barley,100 g/ha,56604
5510,Production,115,Barley,t,30000
5312,Area harvested,115,Barley,ha,10700
5419,Yield,115,Barley,100 g/ha,42617
5510,Production,115,Barley,t,45600
5312,Area harvested,115,Barley,ha,9879
5419,Yield,115,Barley,100 g/ha,57935
5510,Production,115,Barley,t,57234
5312,Area harvested,115,Barley,ha,3079
5419,Yield,115,Barley,100 g/ha,54144
5510,Production,115,Barley,t,16671
5312,Area harvested,115,Barley,ha,5128
5419,Yield,115,Barley,100 g/ha,62793
5510,Production,115,Barley,t,32200
5312,Area harvested,115,Barley,ha,4554
5419,Yield,115,Barley,100 g/ha,54897
5510,Production,115,Barley,t,25000
5312,Area harvested,115,Barley,ha,3000
5419,Yield,115,Barley,100 g/ha,55000
5510,Production,115,Barley,t,16500
5312,Area harvested,115,Barley,ha,12000
